City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,0.01,79,75,5.14,CA,1731274604
1,severo-yeniseyskiy,60.3725,93.0408,-7.97,88,100,3.09,RU,1731274605
2,bel ombre,-4.6167,55.4167,26.91,83,40,2.57,SC,1731274606
3,le vauclin,14.5452,-60.8388,26.03,89,75,1.03,MQ,1731274608
4,adamstown,-25.066,-130.1015,22.12,71,100,6.0,PN,1731274609
5,bethel,41.3712,-73.414,13.05,49,20,6.17,US,1731274610
6,kostomuksha,64.571,30.5767,-1.73,82,83,1.93,RU,1731274611
7,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1731274612
8,west island,-12.1568,96.8225,25.99,89,75,7.72,CC,1731274614
9,minas de marcona,-15.2119,-75.1103,17.96,65,7,6.28,PE,1731274615
10,port-aux-francais,-49.35,70.2167,4.52,85,61,10.37,TF,1731274616
11,lyantor,61.6195,72.1555,-10.8,93,100,11.5,RU,1731274617
12,bilibino,68.0546,166.4372,-19.43,100,99,0.32,RU,1731274618
13,yellowknife,62.456,-114.3525,-9.71,79,75,3.09,CA,1731274481
14,kayangel,8.0823,134.7173,28.24,73,25,1.96,PW,1731274621
15,thompson,55.7435,-97.8558,-0.91,74,75,1.03,CA,1731274622
16,natal,-5.795,-35.2094,27.12,69,40,6.17,BR,1731274625
17,longyearbyen,78.2186,15.6401,-3.09,100,75,1.03,SJ,1731274626
18,iqaluit,63.7506,-68.5145,-3.15,63,75,5.14,CA,1731274627
19,ilulissat,69.2167,-51.1,-4.99,74,75,4.12,GL,1731274628
20,katsuren-haebaru,26.3369,127.8719,24.49,94,75,2.57,JP,1731274629
21,margaret river,-33.95,115.0667,10.19,85,58,2.76,AU,1731274631
22,waitangi,-43.9535,-176.5597,16.01,96,100,4.47,NZ,1731274632
23,pendleton,45.6721,-118.7886,11.55,81,100,4.12,US,1731274412
24,hawaiian paradise park,19.5933,-154.9731,27.15,78,100,4.12,US,1731274634
25,katsuura,35.1333,140.3,17.33,96,100,6.59,JP,1731274635
26,ribeira grande,38.5167,-28.7,20.99,83,40,8.23,PT,1731274637
27,edinburgh of the seven seas,-37.0676,-12.3116,15.82,86,100,13.8,SH,1731274638
28,pisco,-13.7,-76.2167,23.03,60,0,7.2,PE,1731274639
29,port mathurin,-19.6833,63.4167,24.24,81,84,9.08,MU,1731274640
30,bredasdorp,-34.5322,20.0403,15.25,76,95,3.49,ZA,1731274641
31,san mariano,7.5,126.0,23.14,94,59,1.07,PH,1731274643
32,usogorsk,63.4106,48.6872,-6.27,97,39,0.82,RU,1731274644
33,labrador city,52.9463,-66.9114,0.95,67,100,4.47,CA,1731274645
34,igrim,63.1906,64.4162,-10.74,80,51,5.05,RU,1731274646
35,college,64.8569,-147.8028,-9.75,81,20,0.0,US,1731274647
36,galliano,29.4422,-90.2992,24.0,88,100,5.66,US,1731274649
37,egilsstadir,65.2653,-14.3948,8.95,53,40,6.69,IS,1731274650
38,atafu village,-8.5421,-172.5159,28.5,69,86,4.15,TK,1731274651
39,shizukuishi,39.6833,140.9833,7.69,74,64,1.74,JP,1731274652
40,an ros,53.5223,-6.0931,9.65,93,0,3.6,IE,1731274653
41,tiksi,71.6872,128.8694,-19.08,100,83,1.29,RU,1731274655
42,new norfolk,-42.7826,147.0587,12.62,53,5,1.35,AU,1731274656
43,kolasib,24.2333,92.7,15.21,89,0,0.92,IN,1731274657
44,albany,42.6001,-73.9662,10.81,45,100,0.45,US,1731274658
45,sao vicente,-23.9631,-46.3919,21.98,26,0,3.09,BR,1731274661
46,stanley,54.868,-1.6985,8.49,86,0,6.17,GB,1731274662
47,puerto natales,-51.7236,-72.4875,7.36,77,75,3.5,CL,1731274663
48,luganville,-15.5333,167.1667,25.98,75,99,3.14,VU,1731274664
49,noumea,-22.2763,166.4572,28.9,99,25,5.56,NC,1731274665
50,nabire,-3.3667,135.4833,25.74,83,63,0.99,ID,1731274667
51,wailua homesteads,22.0669,-159.378,26.44,85,100,6.17,US,1731274668
52,kogalym,62.2654,74.4791,-11.65,95,99,5.97,RU,1731274669
53,juneau,58.3019,-134.4197,6.0,87,100,7.72,US,1731274671
54,kapuskasing,49.4169,-82.4331,7.0,87,100,1.03,CA,1731274673
55,ushuaia,-54.8,-68.3,6.81,81,100,9.26,AR,1731274674
56,kodiak,57.79,-152.4072,3.73,93,100,7.72,US,1731274675
57,nar'yan-mar,67.6713,53.087,-7.96,94,28,3.29,RU,1731274676
58,arraial do cabo,-22.9661,-42.0278,22.92,83,75,4.12,BR,1731274677
59,puerto ayora,-0.7393,-90.3518,23.64,80,87,3.13,EC,1731274679
60,saint-pierre,-21.3393,55.4781,23.82,73,0,2.06,RE,1731274680
61,hilo,19.7297,-155.09,27.27,79,100,4.12,US,1731274636
62,charters towers,-20.1,146.2667,25.68,60,1,6.8,AU,1731274682
63,waingapu,-9.6567,120.2641,27.18,76,20,4.57,ID,1731274683
64,sidi ifni,29.3797,-10.173,21.04,66,6,1.82,MA,1731274685
65,sidney,-33.8679,151.2073,19.27,76,75,6.17,AU,1731274535
66,grytviken,-54.2811,-36.5092,-0.47,84,64,2.74,GS,1731274687
67,adrar,20.5022,-10.0711,23.93,14,16,4.13,MR,1731274688
68,el bolson,-41.9667,-71.5167,4.75,100,100,1.8,AR,1731274689
69,hohhot,40.8106,111.6522,2.16,93,0,2.0,CN,1731274691
70,salekhard,66.53,66.6019,-18.84,90,22,3.27,RU,1731274692
71,zhanibek,49.4167,46.85,1.49,87,6,2.86,KZ,1731274693
72,nova sintra,14.8667,-24.7167,26.69,74,94,8.79,CV,1731274694
73,ghormach,35.7306,63.7826,8.68,58,5,2.27,AF,1731274695
74,zemetchino,53.4973,42.6163,3.65,70,100,1.88,RU,1731274697
75,barcelos,41.5388,-8.6151,15.24,97,99,1.62,PT,1731274698
76,carnarvon,-24.8667,113.6333,19.99,69,69,10.87,AU,1731274699
77,touros,-5.1989,-35.4608,25.54,73,100,5.56,BR,1731274700
78,xining,36.6167,101.7667,3.72,68,71,0.88,CN,1731274701
79,susuman,62.7833,148.1667,-35.1,99,92,0.3,RU,1731274703
80,fort st. john,56.2499,-120.8529,1.94,60,75,3.6,CA,1731274704
81,vicosa,-20.7539,-42.8819,18.86,90,60,3.05,BR,1731274705
82,plasnica,41.4672,21.1231,2.48,70,49,1.7,MK,1731274706
83,hobyo,5.3505,48.5268,26.06,83,100,7.22,SO,1731274707
84,talnakh,69.4865,88.3972,-24.26,90,49,1.21,RU,1731274709
85,bowen,-20.0167,148.2333,27.3,62,100,4.43,AU,1731274710
86,portland,45.5234,-122.6762,14.24,76,100,4.63,US,1731274187
87,kidal,18.4411,1.4078,22.31,18,49,4.27,ML,1731274712
88,port lincoln,-34.7333,135.8667,16.83,82,81,5.71,AU,1731274713
89,magistral'nyy,56.1725,107.4458,-14.49,96,52,1.16,RU,1731274715
90,gadzhiyevo,69.2551,33.3362,1.97,76,99,5.78,RU,1731274716
91,nadym,65.5333,72.5167,-11.85,94,100,11.25,RU,1731274717
92,salalah,17.0151,54.0924,25.05,65,0,1.54,OM,1731274718
93,luderitz,-26.6481,15.1594,15.79,74,0,7.73,NA,1731274719
94,ostersund,63.1792,14.6357,0.34,95,100,6.17,SE,1731274720
95,klyuchi,52.2667,79.1667,0.04,96,100,7.75,RU,1731274722
96,blackmans bay,-43.0167,147.3167,11.96,77,2,0.45,AU,1731274723
97,geraldton,-28.7667,114.6,14.23,88,0,4.63,AU,1731274724
98,bonthe,7.5264,-12.505,26.5,83,34,2.28,SL,1731274725
99,al quwayrah,29.8004,35.3116,11.75,82,11,2.18,JO,1731274726
100,maardu,59.4767,25.025,3.67,83,100,2.57,EE,1731274728
101,isangel,-19.55,169.2667,25.06,73,75,2.06,VU,1731274729
102,tura,25.5198,90.2201,19.11,88,0,1.42,IN,1731274730
103,papatowai,-46.5619,169.4708,11.57,49,77,7.24,NZ,1731274731
104,olonkinbyen,70.9221,-8.7187,1.21,99,100,7.81,SJ,1731274732
105,tarnogskiy gorodok,60.4997,43.5761,-1.07,94,95,3.45,RU,1731274734
106,beloomut,54.9448,39.3394,-0.19,96,25,1.67,RU,1731274735
107,san antonio de pale,-1.4014,5.6325,26.06,83,76,3.46,GQ,1731274736
108,chiredzi,-21.05,31.6667,25.83,51,64,3.44,ZW,1731274737
109,sumenep,-7.0167,113.8667,27.57,76,42,3.52,ID,1731274738
110,okoneshnikovo,54.8377,75.0834,-9.55,94,65,3.74,RU,1731274740
111,novodvinsk,64.4165,40.8122,2.86,78,100,2.54,RU,1731274741
112,joniskis,56.2403,23.6153,2.16,87,100,2.74,LT,1731274742
113,zhigalovo,54.8097,105.1578,-9.23,83,23,1.25,RU,1731274743
114,ixtapa,20.7,-105.2,29.57,62,20,4.63,MX,1731274744
115,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1731274746
116,alofi,-19.0595,-169.9187,23.94,94,75,7.2,NU,1731274747
117,chonchi,-42.6128,-73.8092,12.29,84,27,3.66,CL,1731274748
118,kingston,17.997,-76.7936,29.53,79,20,6.17,JM,1731274559
119,banfora,10.6333,-4.7667,25.42,34,8,1.79,BF,1731274750
120,alvaraes,-3.2208,-64.8042,23.93,93,98,1.66,BR,1731274752
121,lihue,21.9789,-159.3672,26.77,81,100,6.17,US,1731274753
122,port macquarie,-31.4333,152.9167,22.26,79,100,2.24,AU,1731274511
123,port alfred,-33.5906,26.891,17.67,76,100,2.38,ZA,1731274756
124,fale old settlement,-9.3852,-171.2468,28.26,74,89,5.82,TK,1731274758
125,udachny,66.4167,112.4,-15.73,95,92,2.15,RU,1731274759
126,yokadouma,3.5167,15.05,20.15,99,49,0.89,CM,1731274760
127,shizilu,35.1711,118.8289,14.24,85,93,0.45,CN,1731274761
128,san vicente de canete,-13.0751,-76.3835,19.23,79,63,2.58,PE,1731274762
129,khabary,53.6259,79.5345,0.21,97,100,8.39,RU,1731274764
